Property_Address,Listing_Price,Square_Feet,Property_Type,Listing_Date,Agent_Contact_Info
722 Washington Blvd  New York City N.Y.,"$2,169,647",1275,Apartment,,Michael Wilson
"68 Park Ave, NY, N.Y. 10001","$1,236,516",4306 sq.ft.,twnd house,21-Jan-2023,Michael Wilson - 5550192834 - rbrown@outlook.com
"151 Pine Rd, Brooklyn, ny 11101","$1,147,383",2119,Apartment,"April 16, 2023",David Taylor - 555-0192 - emily.d@realestate.com
"875 Washington Blvd, New York City, New York 11201","$811,817",1427,Apt.,09/19/2023,Michael Wilson - +1 555-0149 - emily.d@realestate.com
"393 Cedar Ln, New-York, ny 10004",807799,1874,House,2023-09-28,David Taylor
"903 Main St, New York City, N.Y. 11201",2256433,-999,Townhouse,01-Jul-2023,Sarah Miller (rbrown@outlook.com)
472 Park Ave  Brooklyn NY,"$2,437,124",,Single Family Home,03/09/2024,Emily Davis - +1 555-0149 - jsmith@gmail.com
"802 Pine Rd, New York City, NY 11201","$938,354",3409,House,12-Nov-2023,John Smith (jsmith@gmail.com)
417 Park Ave  Queens ny,595727,2652 sq ft,condo,02/10/2023,David Taylor - (555) 019-2834 - rbrown@outlook.com
"  43 broadway, QUEENS ",548549,4234,twnd house,"December 05, 2023",John Smith - (555) 019-2834 - alice_j@yahoo.com
"  72 cedar ln, QUEENS ","$2,157,222",1318 sq ft,Apartment,26-Jan-2023,Alice Johnson - (555) 019-2834 - jsmith@gmail.com
"513 Main St, New York City, New York 10001",$2500,3320 sq.ft.,apt,2023-10-25,David Taylor - +1 555-0149 - jsmith@gmail.com
"537 Elm Street, Bronx, ny 10004","$ 260,372.00",3919 sq ft,Single Family Home,22-Nov-2023,John Smith - +1 555-0149 - alice_j@yahoo.com
"  416 main st, STATEN ISLAND ",1563071,2798,condo,02/28/2023,Alice Johnson
"743 Park Ave, Staten Island, N.Y. 10004",277257 USD,1103 sq ft,Apt.,N/A,John Smith - 5550192834 - rbrown@outlook.com
836 Cedar Ln  Queens NY,"$573,255",2542,twnd house,03/27/2023,John Smith - 555-0192 - alice_j@yahoo.com
"987 Maple Ave, New-York, NY 11201",,3508,Multi-Family,"December 27, 2023",Sarah Miller - 5550192834 - jsmith@gmail.com
566 Main St  Bronx NY,"$1,739,014",2959,Multi-Family,11/28/2023,David Taylor (emily.d@realestate.com)
"48 Main St, Bronx, New York 10001",628730,2526,Apartment,"August 19, 2023",Alice Johnson - 5550192834 - emily.d@realestate.com
686 Main St  New York City NY,1247957,514,House,2023-09-27,Emily Davis - 5550192834 - jsmith@gmail.com
"  664 elm street, BRONX ","$2,255,640",,Townhouse,04/12/2024,Sarah Miller - (555) 019-2834 - alice_j@yahoo.com
"219 Maple Ave, Brooklyn, New York 10004","$1,508,278",4255 sqft,Single Family Home,,Alice Johnson - 5550192834 - alice_j@yahoo.com
"441 Elm Street, New-York, NY 10003",1284273 USD,2480,apt,2023-03-11,Robert Brown
"11 Lakeview Dr, Bronx, N.Y. 11201",609090,1927,Townhouse,,Emily Davis - 555-0192 - emily.d@realestate.com
"611 Pine Rd, Staten Island, NY",,1595,Single Family Home,,Sarah Miller - 5550192834 - rbrown@outlook.com
"862 Elm Street, Brooklyn, New York 10002",1301204,3402 sqft,Apt.,2023-11-18,John Smith - 5550192834 - emily.d@realestate.com
"391 Elm Street, Staten Island, ny",469636 USD,3101,Townhouse,12/14/2023,David Taylor - (555) 019-2834 - rbrown@outlook.com
"  859 park ave, BROOKLYN ",1628078 USD,3680 sq.ft.,,,David Taylor - (555) 019-2834 - jsmith@gmail.com
706 Lakeview Dr  NY ny,"$25,000,000",3844,twnd house,2023-10-02,Michael Wilson - +1 555-0149 - jsmith@gmail.com
"291 Main St, New York City, ny 11201",,3199,House,2023-07-29,David Taylor - +1 555-0149 - alice_j@yahoo.com
"759 Washington Blvd, NY, N.Y. 10002","$942,592",4023 sq ft,Townhouse,22-Jan-2024,Robert Brown - +1 555-0149 - rbrown@outlook.com
971 Pine Rd  Queens NY,"$901,995",2927,Multi-Family,"November 21, 2023",Robert Brown - 555-0192 - jsmith@gmail.com
905 Washington Blvd  NY ny,"$ 1,969,574.00",4422,condo,23-Jun-2023,John Smith - 5550192834 - emily.d@realestate.com
"395 Cedar Ln, New-York, New York 10002",1610560 USD,2774,Apt.,22-Mar-2023,John Smith - 5550192834 - emily.d@realestate.com
"343 Cedar Ln, Queens, ny 10003",1088022,2684,Apartment,02-May-2024,Alice Johnson
"453 Park Ave, New York, NY 11201","$940,621",4278 sq ft,Townhouse,2024-04-03,Alice Johnson - 5550192834 - alice_j@yahoo.com
"226 Broadway, NY, ny 10002","$1,107,790",1430,House,08/27/2023,Robert Brown - 5550192834 - emily.d@realestate.com
"245 Cedar Ln, Brooklyn, ny 11201","$1,665,847",3815,Single Family Home,2023-08-24,Alice Johnson (alice_j@yahoo.com)
293 Pine Rd  New York City N.Y.,1288319 USD,3219,Multi-Family,18-May-2023,John Smith - 555-0192 - emily.d@realestate.com
"687 Cedar Ln, New-York, ny 10004","$2,398,936",2210,twnd house,09/07/2023,Alice Johnson - +1 555-0149 - jsmith@gmail.com
"830 Lakeview Dr, New-York, New York 10001","$694,022",2862,condo,2024-01-17,Alice Johnson - 555-0192 - jsmith@gmail.com
"72 Cedar Ln, Bronx, NY 10002","$2,499,345",2178,apt,"August 15, 2023",John Smith (jsmith@gmail.com)
"39 Washington Blvd, Bronx, N.Y. 10004","$1,333,608",4055,Townhouse,01/06/2023,Alice Johnson - +1 555-0149 - emily.d@realestate.com
