Student ID,Full Name,Email Address,Enrolled Course,Registration Date,Final Score,Amount Paid,Payment Status
STU-1168,David Brown,david.brown94@outlook.com,Digital Marketing,2025/05/12 00:00,,299,Completed
STU-1034,Robert Anderson,robert.anderson95@edu.com,Digital Marketing,04/11/2025,,299,unpaid
STU-1016,Matthew Davis,matthew.davis13@edu.com,UX/UI Design Fundamentals,07/01/2025,96,$150,paid
STU-1317,Mr. Olivia Brown,olivia.brown74@outlook.com,Python for beginners,09/13/2025,-15,150,YES
STU-1058,David Smith,davidsmith@gmail.com; david123@gmail.com,Python for Beginners,2025-10-11,90,499,YES
STU-1292,Dr. David Hernandez,david.hernandezgmail.com,Data Science - Intro,"June 16, 2025",95,299,Completed
STU-1077,Olivia Garcia,olivia.garcia49@hotmail.com,Digital Marketing,"September 07, 2025",,$299,Pending
STU-1120,  Michael  Brown ,michael.brown25@yahoo.com,python for beginners,2025-03-21,56,150,unpaid
STU-1281,Dr. Sarah Miller,sarah.miller75@gmail.com,Web Development,24-Feb-2025,999,299,no
STU-1127,Amanda Smith,,Data Science 101,18-Mar-2025,83,299,Pending
STU-1235,  Jessica  Miller ,jessicamiller@hotmail.com; jessica123@gmail.com,Digital Marketing,2025-02-13,96,150,Unpaid
STU-1040,Dr. Andrew Wilson,andrewwilson@outlook.com; andrew123@gmail.com,Digital Marketing,"September 29, 2025",98,499,Failed
STU-1275,sarah smith,sarah.smith11@outlook.com,Web Dev Bootcamp,03/01/2025,81,299,PAID
STU-1056,James Lopez,james.lopez59@hotmail.com,Data Science - Intro,2025-05-09,70,$200,Completed
STU-1290,Andrew Williams,andrew.williams2@yahoo.com,Data Science - Intro,2025/06/06 00:00,67,499,NO
STU-1298,olivia wilson,olivia.wilson44@outlook.com,Digital Marketing Essentials,2025-08-23,61,499,unpaid
STU-1001,Mr. Daniel Johnson,daniel.johnson29@yahoo.com,Marketing 101,22-Feb-2025,55,150,Paid
STU-1233,  Jessica  Anderson ,jessica.anderson97@yahoo.com,Digital Marketing,2025-03-15,89,499,NO
STU-1338,John Davis,,Python for beginners,2025-01-28,54,200,pending
STU-1102,Matthew Jones,matthew.jones72@company.org,Digital Marketing Essentials,2025-10-13,94,200,pending
STU-1010,Dr. Daniel Lopez,daniel.lopez97@hotmail.com,Web Development Bootcamp,2025-06-24,79,,pending
STU-1182,Mr. Robert Davis,robert.davis83@edu.com,UX/UI Design Fundamentals,09/26/2025,59,200,Refunded
STU-1073,  Olivia  Smith ,olivia.smith76@company.org,Digital Marketing,"September 08, 2025",80,499,Failed
STU-1239,James Lopez,james.lopez69@company.org,python for beginners,2025-05-23,,200,unpaid
STU-1262,David Rodriguez,david.rodriguez8@yahoo.com,Digital Marketing Essentials,07/18/2025,61,299 USD,NO
STU-1138,Olivia Martinez,olivia.martinez17@gmail.com,Data Science 101,07/07/2025,52,499,NO
STU-1324,James Garcia,james.garcia18@yahoo.com,UX/UI Design Fundamentals,2025-09-20,70,200,Completed
STU-1173,Robert Davis,robert.davis73@gmail.com,Python for Beginners,"October 08, 2025",84,$299,Failed
STU-1153,Robert Smith,robert.smith34@edu.com,DS 101,07/26/2025,86,299,Unpaid
STU-1046,Amanda Martinez,amanda.martinezgmail.com,UX/UI Design Fundamentals,"March 11, 2025",66,200,Failed
STU-1026,Emma Hernandez,emma.hernandez63@hotmail.com,Web Development,2025-01-27,67,,unpaid
STU-1109,David Johnson,david.johnson22@company.org,UX/UI Design,2025-07-05,65,499,PAID
STU-1043,James Garcia,james.garcia27@outlook.com,UX/UI Design Fundamentals,"October 27, 2025",,499,Refunded
STU-1169,Michael Martinez,michael.martinez55@company.org,DS 101,02/14/2025,999,499,unpaid
STU-1158,amanda davis,amanda.davis80@outlook.com,python for beginners,2025-05-05,57,499 USD,unpaid
STU-1115,Andrew Gonzalez,andrew.gonzalez78@outlook.com,UI/UX Basics,"March 19, 2025",71,150,yes
STU-1064,sarah rodriguez,sarahrodriguez@hotmail.com; sarah123@gmail.com,Web Dev Bootcamp,2025-03-14,85%,299,Failed
STU-1023,Emma Jones,emma.jones39@outlook.com,DS 101,2025-02-07,86,150,Completed
STU-1154,Sarah Miller,sarah.miller36@company.org,Digital Marketing,2025-03-02,999,299,NO
STU-1178,Matthew Smith,matthew.smith93@company.org,UX/UI Design Fundamentals,09/30/2025,79,299,Completed
STU-1251,Ashley Johnson,ashley.johnson82@outlook.com,Python for beginners,2025-10-18,58,9999,pending
STU-1267,Daniel Martinez,daniel.martinez94@edu.com,Data Science - Intro,2025-03-07,,499,paid
STU-1031,Emma Brown,emma.brown40@yahoo.com,Data Science 101,13-Jan-2025,67,299,NO
STU-1221,robert jones,robert.jones96@outlook.com,UI/UX Basics,2025-09-19,-15,299,paid
STU-1110,  James  Wilson ,james.wilson43@yahoo.com,Python for beginners,19-Sep-2025,62,299,NO
STU-1125,Olivia Davis,olivia.davis54@gmail.com,UX/UI Design Fundamentals,09/15/2025,55,150,unpaid
STU-1091,Daniel Garcia,daniel.garcia46@gmail.com,UX/UI Design Fundamentals,2025-05-22,-15,499,PAID
STU-1057,Emma Lopez,emma.lopez98@company.org,Digital Marketing Essentials,"May 25, 2025",68,0,yes
STU-1006,robert lopez,robert.lopez35@edu.com,Marketing 101,2025-10-13,99,200,paid
STU-1046,Amanda Martinez,amanda.martinezgmail.com,UX/UI Design Fundamentals,"March 11, 2025",66,200,Failed
STU-1240,James Martinez,james.martinez88@edu.com,Python for beginners,08-Jun-2025,65,$150,no
STU-1146,  Robert  Anderson ,robert.andersongmail.com,Data Science 101,2025-10-10,89,200,Yes
STU-1288,Emily Martinez,emily.martinez61@company.org,UI/UX Basics,06/29/2025,66,150,Unpaid
STU-1220,Daniel Davis,daniel.davis63@yahoo.com,Python for beginners,2025-10-17,68,,Pending
STU-1209,Sarah Davis,sarah.davis52@company.org,UI/UX Basics,03-Aug-2025,73,150,YES
STU-1346,  Michael  Smith ,michael.smith92@edu.com,Digital Marketing,2025-08-12,93,499,Failed
STU-1094,Sarah Hernandez,sarahhernandez@hotmail.com; sarah123@gmail.com,Web Development Bootcamp,02-May-2025,,200,no
STU-1004,Robert Johnson,robert.johnson71@hotmail.com,Web Dev Bootcamp,05-Jul-2025,52,299,PAID
STU-1193,Mr. Robert Jones,robert.jones87@outlook.com,Web Development Bootcamp,2025-04-02,999,$200,pending
STU-1078,Ashley Johnson,ashley.johnsongmail.com,Digital Marketing,02/21/2025,51,,paid
STU-1133,john gonzalez,,Web Development,08-Jun-2025,84,150,Completed
STU-1295,Robert Jones,robert.jones72@yahoo.com,Data Science - Intro,02/19/2025,96,200,unpaid
STU-1079,David Garcia,davidgarcia@company.org; david123@gmail.com,UX/UI Design Fundamentals,17-Oct-2025,61,$499,Pending
STU-1047,Jessica Garcia,jessica.garcia97@outlook.com,Data Science - Intro,02/11/2025,53,299,Pending
STU-1337,Daniel Hernandez,daniel.hernandez55@gmail.com,Data Science 101,2025/10/03 00:00,97,150,Yes
STU-1074,Andrew Garcia,andrew.garcia31@company.org,UX/UI Design Fundamentals,"April 30, 2025",70,499,No
STU-1248,Amanda Davis,amanda.davis94@company.org,Web Development Bootcamp,2025-05-06,51,9999,NO
STU-1156,Jessica Anderson,jessica.anderson79@edu.com,Web Dev Bootcamp,03-Jun-2025,82,299,Refunded
STU-1210,Matthew Brown,matthew.brown83@company.org,Python for Beginners,"October 16, 2025",75,299,no
STU-1083,Olivia Anderson,olivia.anderson30@company.org,Web Development Bootcamp,2025-06-30,66,200,YES
STU-1095,Robert Johnson,robert.johnson47@company.org,Digital Marketing Essentials,02/25/2025,89,,Unpaid
