Student ID,Full Name,Email Address,Enrolled Course,Registration Date,Final Score,Amount Paid,Payment Status
STU-1168,David Brown,david.brown94@outlook.com,Digital Marketing,12-05-2025,,299,Paid
STU-1034,Robert Anderson,robert.anderson95@edu.com,Digital Marketing,11-04-2025,,299,Unpaid
STU-1016,Matthew Davis,matthew.davis13@edu.com,UX/UI Design,01-07-2025,96,150,Paid
STU-1317,Olivia Brown,olivia.brown74@outlook.com,Python for Beginners,13-09-2025,15,150,Paid
STU-1058,David Smith,davidsmith@gmail.com,Python for Beginners,11-10-2025,90,499,Paid
STU-1292,David Hernandez,david.hernandez@gmail.com,Data Science,16-06-2025,95,299,Paid
STU-1077,Olivia Garcia,olivia.garcia49@hotmail.com,Digital Marketing,07-09-2025,,299,Pending
STU-1120,Michael Brown,michael.brown25@yahoo.com,Python for Beginners,21-03-2025,56,150,Unpaid
STU-1281,Sarah Miller,sarah.miller75@gmail.com,Web Development,24-02-2025,,299,Unpaid
STU-1127,Amanda Smith,,Data Science,18-03-2025,83,299,Pending
STU-1235,Jessica Miller,jessicamiller@hotmail.com,Digital Marketing,13-02-2025,96,150,Unpaid
STU-1040,Andrew Wilson,andrewwilson@outlook.com,Digital Marketing,29-09-2025,98,499,Failed
STU-1275,Sarah Smith,sarah.smith11@outlook.com,Web Development,01-03-2025,81,299,Paid
STU-1056,James Lopez,james.lopez59@hotmail.com,Data Science,09-05-2025,70,200,Paid
STU-1290,Andrew Williams,andrew.williams2@yahoo.com,Data Science,06-06-2025,67,499,Unpaid
STU-1298,Olivia Wilson,olivia.wilson44@outlook.com,Digital Marketing,23-08-2025,61,499,Unpaid
STU-1001,Daniel Johnson,daniel.johnson29@yahoo.com,Digital Marketing,22-02-2025,55,150,Paid
STU-1233,Jessica Anderson,jessica.anderson97@yahoo.com,Digital Marketing,15-03-2025,89,499,Unpaid
STU-1338,John Davis,,Python for Beginners,28-01-2025,54,200,Pending
STU-1102,Matthew Jones,matthew.jones72@company.org,Digital Marketing,13-10-2025,94,200,Pending
STU-1010,Daniel Lopez,daniel.lopez97@hotmail.com,Web Development,24-06-2025,79,299,Pending
STU-1182,Robert Davis,robert.davis83@edu.com,UX/UI Design,26-09-2025,59,0,Refunded
STU-1073,Olivia Smith,olivia.smith76@company.org,Digital Marketing,08-09-2025,80,499,Failed
STU-1239,James Lopez,james.lopez69@company.org,Python for Beginners,23-05-2025,,200,Unpaid
STU-1262,David Rodriguez,david.rodriguez8@yahoo.com,Digital Marketing,18-07-2025,61,299,Unpaid
STU-1138,Olivia Martinez,olivia.martinez17@gmail.com,Data Science,07-07-2025,52,499,Unpaid
STU-1324,James Garcia,james.garcia18@yahoo.com,UX/UI Design,20-09-2025,70,200,Paid
STU-1173,Robert Davis,robert.davis73@gmail.com,Python for Beginners,08-10-2025,84,299,Failed
STU-1153,Robert Smith,robert.smith34@edu.com,Data Science,26-07-2025,86,299,Unpaid
STU-1046,Amanda Martinez,amanda.martinez@gmail.com,UX/UI Design,11-03-2025,66,200,Failed
STU-1026,Emma Hernandez,emma.hernandez63@hotmail.com,Web Development,27-01-2025,67,299,Unpaid
STU-1109,David Johnson,david.johnson22@company.org,UX/UI Design,05-07-2025,65,499,Paid
STU-1169,Michael Martinez,michael.martinez55@company.org,Data Science,14-02-2025,,499,Unpaid
STU-1158,Amanda Davis,amanda.davis80@outlook.com,Python for Beginners,05-05-2025,57,499,Unpaid
STU-1115,Andrew Gonzalez,andrew.gonzalez78@outlook.com,UX/UI Design,19-03-2025,71,150,Paid
