customer_id,full_name,email,country,phone,signup_date
10001,Harry Becker,hbecker@gmail.com,UA,+380669583219,2025-04-02
10002,Charlotte Szymanski,cszymanski@proton.me,GB,+447400895473,2026-01-11
10003,Thomas Smith,thomassmith@gmail.com,DE,,2025-01-21
10004,Michael Williams,michael.williams@proton.me,UA,+380995714224,2024-10-19
10005,John Becker,jbecker@proton.me,UA,+380507252045,2022-11-16
10006,Oliver Boyko,oboyko1000@ukr.net,UA,+380983321819,2024-02-14
10007,Magdalena Hoffmann,magdalenahoffmann@outlook.com,PL,+48788961183,2022-09-18
10009,James Edwards,jedwards1061@ukr.net,US,+13055192546,2025-10-01
10010,Anna Kovalenko,annakovalenko@proton.me,UA,+380932185156,2025-01-01
10011,Pawel Johnson,pjohnson@yahoo.com,UA,+380665375564,2021-06-14
10014,Laura Tkachenko,ltkachenko@hotmail.com,GB,+48606655289,2022-08-21
10015,Max Zielinski,maxzielinski@yahoo.com,US,+17027066253,2026-05-17
10016,Jessica Williams,jessicawilliams@proton.me,US,+13053271937,2024-01-07
10017,Petro Weber,petroweber1330@icloud.com,UA,+380932884318,2025-09-28
10019,Pawel Kravchenko,pkravchenko@yahoo.com,UA,+380960754527,2022-05-29
10020,Andriy Walker,andriywalker@outlook.com,GB,+380669087766,2022-01-07
10021,Max Schmidt,maxschmidt@proton.me,UA,+380937489690,2021-09-21
10022,Tomasz Schulz,tomaszschulz1317@hotmail.com,UA,+380736108573,2024-05-15
10023,Jessica Shevchenko,jessica.shevchenko@outlook.com,UA,+380681972181,2024-04-05
10024,Laura Taylor,laura.taylor@ukr.net,DE,+491601260432,2026-09-20
10025,Thomas Green,thomasgreen1035@ukr.net,UA,+380997429671,2021-05-31
10026,Robert Oliynyk,robert.oliynyk1382@icloud.com,UA,+380981509377,2025-07-30
10027,Anna Taylor,ataylor@proton.me,UA,+380994046084,2022-09-18
10028,Olivia Smith,oliviasmith@gmail.com,PL,+48787217535,2026-04-08
10029,Emily Moroz,emoroz@ukr.net,UA,+380500209945,2022-12-28
10031,Amelia Moroz,amelia.moroz@gmail.com,PL,+48669824741,2021-01-03
10033,Felix Brown,felix.brown@hotmail.com,UA,+491762386562,
10036,Sophie Schmidt,sophie.schmidt@yahoo.com,UA,+380506856624,2022-04-07
10037,Lukas Nowak,lukasnowak@icloud.com,UA,+380731227530,2021-09-12
10039,Mia Davis,mia.davis@ukr.net,GB,+447800368872,2023-07-31
10040,Felix Kowalski,felix.kowalski1262@ukr.net,UA,+380954328063,2023-04-09
10041,Charlotte Davis,cdavis@yahoo.com,PL,+48533083402,2025-02-20
10044,Andriy Shevchenko,ashevchenko1130@yahoo.com,GB,+447400385050,2023-07-08
10045,Katarzyna Roberts,katarzynaroberts@gmail.com,PL,+48781694722,2024-04-08
10046,Tomasz Nowak,tnowak@icloud.com,UA,+380633204899,2026-06-25
10047,George Becker,george.becker@yahoo.com,US,+17024422096,2021-11-15
10049,Hans Wisniewski,hwisniewski1084@outlook.com,PL,+48664198665,2024-01-16
10051,Harry Wojcik,hwojcik1131@hotmail.com,PL,+48519182619,2026-01-29
10052,Krzysztof Anderson,krzysztofanderson@gmail.com,US,+14155218188,2021-05-11
10053,Ewa Schulz,ewa.schulz1455@hotmail.com,PL,+48723146249,2024-12-12
10054,Harry Tkachenko,harry.tkachenko@gmail.com,UA,+380671041459,2025-08-20
10055,Charlotte Hoffmann,charlottehoffmann1449@yahoo.com,GB,+447400966553,2021-03-29
