customer_id,full_name,email,country,phone,signup_date
10001,Harry Becker,hbecker@gmail.com,ukraine,+380 66 95 83 21 9,04-02-2025
10002,Charlotte Szymanski,cszymanski@proton.me,UK,+44-740-089-547-3,2026-01-11
10003,Thomas Smith,thomassmith@gmail.com,germany,+380000000000,21/01/2025
10004,Michael Williams,michael.williams@proton.me,Ukraine ,+380995714224 ext. 221,19.10.2024
10005,john becker,jbecker@proton.me,Ukraine,05 07 25 20 45,11-16-2022
10006,Oliver Boyko,oboyko1000@ukr.net,Ukraine,+380983321819,2024-02-14
10007,Magdalena Hoffmann,magdalenahoffmann@outlook.com,PL,(788) 961-183,18.09.2022
10008,James Weber,james.weber1176@proton.me,germany,(151) 858-8770,24.05.2023
10009,james edwards,jedwards1061@ukr.net,United States of America,+13055192546 ext. 327,10-01-2025
10010,Anna Kovalenko,annakovalenko@proton.me,Ukraine ,09 32 18 51 56,01/01/2025
10011,Pawel Johnson,pjohnson@yahoo.com,Ukraine ,00380665375564,2021-06-14
10012,Petro Wozniak,pwozniak@proton.me,UA,asdkjh,01-26-2022
10013,Dmytro Meyer,dmytro.meyer@hotmail.com,Ukraine ,,15.07.2026
10014,Laura Tkachenko,ltkachenko@hotmail.com,GB,+48 60 66 55 28 9,2022-08-21
10015,Max Zielinski,maxzielinski@yahoo.com,United States,7027066253,2026-05-17
10016,  Jessica Williams  ,jessicawilliams@proton.me,US,30 53 27 19 37,01.07.2024
10017,Petro Weber,petroweber1330@icloud.com,Ukraine ,380932884318,2025-09-28
10018,Kateryna Taylor,ktaylor@proton.me,germany,TBD,2026-01-03
10019,Pawel Kravchenko,pkravchenko@yahoo.com,Ukraine ,380960754527,29/05/2022
10020,Andriy Walker,andriywalker@outlook.com,UK,+380 66 90 87 76 6,01-07-2022
10021,Max Schmidt,maxschmidt@proton.me,ukraine,09 37 48 96 90,21/09/2021
10022,Tomasz Schulz,tomaszschulz1317@hotmail.com,ukraine,+380-736-108-573,15/05/2024
10023,Jessica Shevchenko,jessica.shevchenko@outlook.com,Ukraine ,+380 68 19 72 18 1,04-05-2024
10024,Laura Taylor,laura.taylor@ukr.net,Germany,(160) 126-0432,20.09.2026
10025,Thomas Green,thomasgreen1035@ukr.net,Ukraine ,00380997429671,31.05.2021
10026,Robert Oliynyk,robert.oliynyk1382@icloud.com,Ukraine,09 81 50 93 77,2025-07-30
10027,Anna Taylor,ataylor@proton.me,ukraine,09 94 04 60 84,18.09.2022
10028,Olivia Smith,oliviasmith@gmail.com,poland,+48787217535,04.08.2026
10029,Emily Moroz,emoroz@ukr.net,Ukraine,+380500209945,28.12.2022
10030,Amelia Green,amelia.green1090@proton.me,poland,  ,2026-06-26
10031,Amelia Moroz,amelia.moroz@gmail.com,PL,+48669824741,2021-01-03
10032,Magdalena Meyer,magdalenameyer@outlook.com,germany,,19.10.2021
10033,Felix Brown,felix.brown@hotmail.com,UA,+49-176-238-656-2,11.02.2026
10034,Olivia Smith,oliviasmith@gmail.com,poland,+48787217535,26.10.2021
10035,LUKAS BECKER,lukasbecker@gmail.com,ukraine,-,02-01-2024
10036,Sophie Schmidt,sophie.schmidt@yahoo.com,ukraine,380506856624,04.07.2022
10037,Lukas Nowak,lukasnowak@icloud.com,ukraine,(731) 227-530,2021-09-12
10038,Marcin Kowalski,marcin.kowalski1459@ukr.net,UA,,2022-08-24
10039,Mia Davis,mia.davis@ukr.net,England,447800368872,31.07.2023
10040,Felix Kowalski,felix.kowalski1262@ukr.net,Ukraine,00380954328063,04.09.2023
10041,Charlotte Davis,cdavis@yahoo.com,Poland,533083402,02-20-2025
10042,Anna Zielinski,annazielinski@yahoo.com,,0637265273,08/11/2024
10043,Mykola Fischer,mfischer@outlook.com,DE,+49-157-686-025-9,2023-01-11
10044,  Andriy Shevchenko  ,ashevchenko1130@yahoo.com,GB,00447400385050,07.08.2023
10045,Katarzyna Roberts,katarzynaroberts@gmail.com,PL,78 16 94 72 2,04-08-2024
10046,Tomasz Nowak,tnowak@icloud.com,UA,0633204899,25.06.2026
