Service_ID,Customer_Details,Phone_Number,Vehicle_Description,License_Plate,Service_Type,Date_Of_Service,Total_Cost,Payment_Status,Internal_Notes
SRV-1001,Sarah Smith | Tel: N/A | Mail: mike.w@hotmail.com,,Hyundai Tucson,NONE,AC Refill,15/01/2025,145,Done,Paid via cash
SRV-1002,Mr. A. Brown,+1-555-987-6543,Ford Focus,7XYZ123 ,Battery Replacement,28.02.2025,398,Completed,
SRV-1003,,N/A,2015 Mercedes E200 (Plate: K99-22X),,Engine Check,01-02-25,820,unpaid,Bring back next week
SRV-1004,Mrs. Helen SMITH,5552345678,N/A BMW 3 Series (Plate: abc8901),,Diagnostics,2024-11-03,226,unpaid,VIP client - gave 10% off
SRV-1005,Ms. Alex Miller,5552345678,Hyundai Elantra,ABC-8901,Diag,02/28/2025,,Completed,Need to re-check invoice
SRV-1006,Christian Thomas | Tel: 555.987.6543 | Mail: sarah_j@yahoo.com,,Honda CRV,UNREGISTERED,Air Conditioning,28.02.2025,897,Pending,Bring back next week
SRV-1007,Ms. JON smith,+15550192834,Kia Sportage,K99-22X,Tire Rotation,02/28/2025,1038,Paid,Replaced front left light as well for free
SRV-1008,Mr. Dmitri Johnson,N/A,Ford F-150,7XYZ 123,Battery,03/11/2024,445,Paid,Paid via cash
SRV-1009,Anna Martinez,555-234-5678,honda civic,7XYZ123 ,Oil Change,00/00/2024,119,done,
SRV-1010,Dr. Mike smith,5552345678,TOYOTA CAMRY,7xyz123,AC Refill,2025.01.15,FREE / WARRANTY,paid,Duplicate record?
SRV-1011,Prof. Alexander Brown,555-234-5678,audi a4,abc8901,AC Service,Feb 28 2025,FREE / WARRANTY,Completed,Paid via cash
SRV-1012,Mrs. Robert Davis,+1 (555) 019-2834,toyota camry,7xyz123,Diag,15/01/2025,650,Pndg,Contact wife for payment
SRV-1047,Prof. Robert Harris,5552345678,Honda CR-V,7xyz123,Diagnostics,28.02.2025,190,Pndg,Paid via cash
SRV-1014,Mr. Mike Brown,555-234-5678,bmw x5,ABC 8901,OIL CHANGE,Feb 28 2025,280,Done,Duplicate record?
SRV-1015,Mrs. Michael Jackson | Tel: call spouse 555-888-1122 | Mail: -,,BMW X5,7XYZ 123,Tire Rotation,03/11/2024,1011,in progress,
SRV-1016,Prof. Dmitri Harris | Tel: 555 019 2834 | Mail: mike.w@hotmail.com,,toyota camry,NO PLATE,Battery,2024/11/03,-199,paid,Duplicate record?
SRV-1017,Mr. Anna SMITH,(555) 234-5678,2020 audi a4 (Plate: K99-22X),,Air Conditioning,11/03/2024,161,unpaid,Paid via cash
SRV-1018,Prof. David Miller,555-234-5678,2022 Honda CRV (Plate: K99-22X),,Major Service,"Nov 3, 2024",228,Done,Contact wife for payment
SRV-1036,Mr. JON Thompson | Tel: 555-234-5678 | Mail: ,,Ford Mustang,ABC-8901,Brake Pad Change,Feb 28 2025,699,unpaid,Duplicate record?
SRV-1020,Sarah Williams,N/A,Hyundai Tucson,7XYZ 123,Full Maintenance,2024-11-03,496,Pndg,Replaced front left light as well for free
SRV-1021,Mr. JON Jackson | Tel: N/A | Mail: john.smith@gmail.com,,Hyundai Elantra,NONE,Brake Pad Change,Feb 28 2025,955,Paid,Customer complained about noise
SRV-1022,S. Thompson,555-019-2834,2024 Honda Civic (Plate: 7XYZ 123),,Diagnostics,01/15/2025,510,Pndg,Bring back next week
SRV-1023,Prof. Alexander Martinez,555 019 2834,2018 Kia Sportage (Plate: K99-22X),,Battery,2024/11/03,923,Pndg,Bring back next week
SRV-1024,Mr. Alex smith | Tel: call spouse 555-888-1122 | Mail: mike.w@hotmail.com,,BMW 3 Series,ABC 8901,Rear Brakes,11/03/2024,$4240180,CANCELLED,
SRV-1025,Dr. D. Martin,555-234-5678 ext 12,2023 Mercedes E200 (Plate: 7XYZ123),,Engine Diagnostics,15-Jan-2025,623,Done,Paid via cash
SRV-1026,Dr. Alexander Martinez,+15550192834,Honda CR-V,7XYZ123,Oil Change,2023-05-12,1182,Pndg,Bring back next week
SRV-1027,David Martinez,-,Hyundai Tucson,UNREGISTERED,Tire Fitting,2024/11/03,685,Paid,VIP client - gave 10% off
SRV-1028,Ms. Dmitri Jones,none,2022 Toyota Camry (Plate: ABC 8901),,Air Conditioning,00/00/2024,1032,paid,Contact wife for payment
SRV-1031,Michael SMITH,none,MERCEDES E-CLASS,7xyz123,Rear Brakes,"Nov 3, 2024",$487.00,COMPLETED,Customer complained about noise
SRV-1030,Mr. Chris Jackson,555-234-5678,Honda CRV,NONE,Oil change & Filter,28.02.2025,"$1,140.00",paid,Customer complained about noise
SRV-1031,Mr. Chris Williams,555.987.6543,Mercedes E200,abc8901,Wheel Alignment,00/00/2024,1113,CANCELLED,Duplicate record?
SRV-1032,Ms. Chris Miller | Tel: 5552345678 | Mail: bob@test..com,,Hyundai Elantra,K9922X,Engine Diagnostics,Feb 28 2025,-123,Completed,Replaced front left light as well for free
SRV-1033,Mr. S. Williams,5552345678,Audi Q7,7xyz123,Diag,12/05/2023,207,Completed,
SRV-1034,John Garcia | Tel: 555-234-5678 ext 12 | Mail: -,,Ford Mustang,7XYZ123 ,Tire Fitting,12/05/2023,1198,unpaid,Bring back next week
SRV-1035,Ms. John Thomas,-,BMW X5,K9922X,Full Maintenance,12/05/2023,$7610562,unpaid,Need to re-check invoice
SRV-1036,Ms. S. White | Tel: (555) 234-5678 | Mail: john.smith@gmail.com,,ford f150,K9922X,Tire Rotation,03/11/2024,943,in progress,Paid via cash
SRV-1037,Mr. D. Davis | Tel: 5550192834 | Mail: bob@test..com,,Toyota Camry,ABC-8901,Full Maintenance,2025.01.15,"$1,049.00",Pndg,Paid via cash
SRV-1038,Elena Anderson,(555) 234-5678,Hyundai Tucson,7XYZ123 ,Engine Check,"Jan 15, 2025",718,unpaid,
SRV-1039,,+15550192834,MERCEDES E-CLASS,7XYZ123 ,oil change,2025-02-28,838,done,Duplicate record?
SRV-1040,Ms. Christian Johnson,+1-555-987-6543,18 Volkswagen Golf (Plate: NO PLATE),,Brake Pad Change,2023-05-12,633,unpaid,Duplicate record?
SRV-1041,Robert Miller,-,2022 TOYOTA CAMRY (Plate: K9922X),,Wheel Alignment,2023-13-45,856,Pending,Customer complained about noise
SRV-1042,Ms. Mike Anderson | Tel: N/A | Mail: info@company.org,,2022 MERCEDES E-CLASS (Plate: UNREGISTERED),,brakes front,15/01/2025,$912.00,paid,Duplicate record?
SRV-1043,Dmitriy Harris | Tel: 555.987.6543 | Mail: john.smith@gmail.com,,2024 Honda CRV (Plate: NO PLATE),,Inspection + Oil,2023-13-45,1167,Pending,
SRV-1044,Dr. Dmitriy White | Tel: N/A | Mail: alexander.t@domain.com,,2020 Toyota Corolla (Plate: abc8901),,AC Refill,15-Jan-2025,1071 USD,in progress,Need to re-check invoice
SRV-1045,Dr. Sarah Brown,none,Ford F-150,NO PLATE,Engine Diagnostics,01/15/2025,678,,VIP client - gave 10% off
SRV-1046,Mr. John Garcia,none,ford f150,7XYZ123,alignment,"Jan 15, 2025",900,paid,Paid via cash
SRV-1047,Mrs. S. Garcia,none,Toyota Corolla,7XYZ123 ,Full Maintenance,00/00/2024,"$1,150.00",CANCELLED,Contact wife for payment
SRV-1048,Prof. Alexander Wilson,555-019-2834,2020 Toyota Corolla (Plate: NONE),,Inspection + Oil,15/01/2025,435 USD,Paid,Paid via cash
SRV-1049,Bob Harris | Tel: none | Mail: john.smith@gmail.com,,Audi Q7,NO PLATE,OIL CHANGE,11/03/2024,485,CANCELLED,Paid via cash
SRV-1050,Dr. S. SMITH,555-019-2834,MERCEDES E-CLASS,ABC 8901,Wheel Alignment,"Nov 3, 2024",637,Paid,Duplicate record?
SRV-1051,Mr. Alexander Taylor | Tel: N/A | Mail: john.smith@gmail.com,,audi a4,NEW CAR,Inspection + Oil,03/11/2024,438,paid,Duplicate record?
SRV-1052,Mrs. Robert Jackson,call spouse 555-888-1122,bmw x5,abc8901,Brake Pad Change,2024/11/03,1094,in progress,
SRV-1053,Ms. JON Taylor | Tel: N/A | Mail: info@company.org,,Hyundai Elantra,UNREGISTERED,Oil Change,12/05/2023,191,Completed,Duplicate record?
SRV-1054,,555-234-5678,Ford F-150,NO PLATE,Oil Change,01-02-25,570,,VIP client - gave 10% off
SRV-1055,Ms. JON Davis,+15550192834,Audi A4,K9922X,Engine Check,2023-05-12,930,paid,Contact wife for payment
SRV-1056,Ms. Mike Martinez | Tel: 555 019 2834 | Mail: J.SMITH@GMAIL.COM,,Kia Sportage,abc8901,AC Service,03/11/2024,659,,Replaced front left light as well for free
SRV-1057,Christian Williams,555.987.6543,ford f150,7XYZ123 ,Wheel Alignment,2024/11/03,569,unpaid,
SRV-1058,Mr. David Harris,555-234-5678 ext 12,Kia Sportage,7XYZ 123,oil change,2025.01.15,759,done,Contact wife for payment
SRV-1059,Mr. S. Jackson,555 019 2834,Ford Focus,NEW CAR,Major Service,15/01/2025,1172,CANCELLED,
SRV-1060,Ms. A. smith,5550192834,2020 Ford F-150 (Plate: NO PLATE),,Oil change & Filter,01-02-25,285,paid,VIP client - gave 10% off
SRV-1061,Mr. David smith,none,Honda Civic,UNREGISTERED,Inspection + Oil,15-Jan-2025,241 USD,unpaid,
SRV-1062,Prof. S. Davis | Tel: 555.987.6543 | Mail: bob@test..com,,Ford Focus,7XYZ123,Wheel Alignment,"Nov 3, 2024",403,done,Contact wife for payment
SRV-1043,Dr. Dmitry Jackson,N/A,2024 Honda CR-V (Plate: K9922X),,Tire Rotation,2023-13-45,685,,Replaced front left light as well for free
SRV-1064,Mr. Robert smith,call spouse 555-888-1122,Honda CRV,7XYZ123 ,Major Service,2024-11-03,360,Pndg,Paid via cash
SRV-1065,Dr. Chris smith | Tel:  | Mail: sarah_j@yahoo.com,,Ford F-150,NO PLATE,brakes front,2025.01.15,829,Paid,Duplicate record?
SRV-1035,Dr. Christian Wilson,-,TOYOTA CAMRY,7XYZ123 ,Inspection + Oil,02/28/2025,829,done,
SRV-1067,Dr. Dmitri Miller,555-234-5678 ext 12,Toyota Corolla,ABC-8901,Full Maintenance,12/05/2023,533,Pndg,Paid via cash
SRV-1068,Helen Jackson | Tel: +15550192834 | Mail: sarah_j@yahoo.com,,2022 toyota camry (Plate: K9922X),,Rear Brakes,12/05/2023,FREE / WARRANTY,paid,
SRV-1069,Prof. Alexander Garcia,555 019 2834,Volkswagen Golf,NEW CAR,Engine Diagnostics,01/15/2025,524,paid,Contact wife for payment
SRV-1070,Mr. Dmitri Anderson,,2015 Honda CR-V (Plate: K9922X),,brakes front,01-02-25,123,Done,
SRV-1071,Prof. Mike SMITH | Tel: 555-234-5678 | Mail: invalid-email@,,VW Golf,abc8901,Full Maintenance,2025-01-15,,COMPLETED,VIP client - gave 10% off
SRV-1072,Mr. Dmitri Smith,555 019 2834,Kia Sportage,NEW CAR,Brake Pad Change,03/11/2024,-239,CANCELLED,Duplicate record?
SRV-1073,Ms. D. Martin,+15550192834,MERCEDES E-CLASS,NO PLATE,Inspection + Oil,2023-05-12,143,Done,Contact wife for payment
SRV-1074,Mr. Christian White,5550192834,Honda Civic,7XYZ 123,Major Service,2023-13-45,745,CANCELLED,Need to re-check invoice
SRV-1075,Prof. Alexander Johnson,+15550192834,Hyundai Elantra,NO PLATE,Tire Fitting,Feb 28 2025,927,Pending,Contact wife for payment
SRV-1036,Dr. Alexander Taylor,N/A,18 audi a4 (Plate: 7xyz123),,OIL CHANGE,15/01/2025,843,COMPLETED,Duplicate record?
SRV-1077,Sarah Jackson,,bmw x5,ABC 8901,Diagnostics,"Jan 15, 2025",515,COMPLETED,Contact wife for payment
SRV-1078,Prof. D. Johnson | Tel: N/A | Mail: invalid-email@,,bmw x5,7XYZ123 ,Full Maintenance,01-02-25,627,Done,VIP client - gave 10% off
SRV-1079,Dr. D. Smith,(555) 234-5678,BMW X5,7XYZ 123,Oil Change,15/01/2025,520,CANCELLED,
SRV-1080,Dr. David Garcia | Tel: 5550192834 | Mail: john.smith@gmail.com,,Hyundai Elantra,7XYZ123,Engine Diagnostics,Feb 28 2025,1074,unpaid,Contact wife for payment
SRV-1081,Prof. Sarah Anderson | Tel: +1-555-987-6543 | Mail: J.SMITH@GMAIL.COM,,audi a4,K9922X,Engine Check,01/15/2025,$192.00,Done,Bring back next week
SRV-1082,,,2024 Hyundai Tucson (Plate: 7XYZ 123),,AC Refill,11/03/2024,805,done,
SRV-1083,Mr. Chris SMITH,-,BMW X5,K99-22X,Tire Rotation,2025-01-15,431,unpaid,Contact wife for payment
SRV-1084,Mr. Alexander Johnson,5552345678,Mercedes-Benz E-Class,K99-22X,Battery,2024/11/03,$424.00,done,Duplicate record?
SRV-1085,Mrs. D. Anderson | Tel: 555 019 2834 | Mail: mike.w@hotmail.com,,Ford Focus,7XYZ 123,Major Service,15/01/2025,1091 USD,paid,Need to re-check invoice
SRV-1086,Prof. Dmitry Martinez,-,BMW 3 Series,K9922X,Engine Check,03/11/2024,800,Paid,Paid via cash
SRV-1087,Mr. D. Wilson,5550192834,VW Golf,NEW CAR,Tire Rotation,Feb 28 2025,164,paid,Need to re-check invoice
SRV-1088,Ms. Anna Williams | Tel: 555-019-2834 | Mail: -,,2023 Volkswagen Golf (Plate: NO PLATE),,Major Service,15-Jan-2025,$8344365,paid,Duplicate record?
SRV-1089,Dr. Helen Thomas,+1-555-987-6543,toyota camry,NONE,Diag,"Jan 15, 2025",871,in progress,Replaced front left light as well for free
SRV-1090,Prof. S. Taylor,5550192834,Ford Mustang,NONE,Tire Rotation,2025.01.15,253,in progress,Duplicate record?
SRV-1091,Mrs. Dmitri Martin,5550192834,Mercedes-Benz E-Class,7XYZ123,Brake Pad Change,2024-11-03,1075,Completed,Bring back next week
SRV-1024,Dr. Sarah Martin,555-019-2834,Hyundai Elantra,7XYZ 123,Brake Pads Replacement,15-Jan-2025,419 USD,,Contact wife for payment
SRV-1093,Mrs. Chris Martinez | Tel: none | Mail: -,,Honda CRV,7XYZ123 ,brakes front,2025-02-28,982,paid,Replaced front left light as well for free
SRV-1094,Ms. Michael Brown | Tel: 555 019 2834 | Mail: alexander.t@domain.com,,BMW 328i,UNREGISTERED,Battery Replacement,2023-05-12,663,done,VIP client - gave 10% off
SRV-1007,Mrs. Alexander SMITH,5552345678,Toyota Camry,7XYZ123,Diagnostics,11/03/2024,247,Pending,Bring back next week
SRV-1096,David Williams | Tel: 555 019 2834 | Mail: john.smith@gmail.com,,Volkswagen Golf,NO PLATE,Battery Replacement,20250228,90,done,Customer complained about noise
SRV-1097,Prof. Bob Martin,+1-555-987-6543,2022 Honda CRV (Plate: 7xyz123),,Tire Fitting,01-02-25,1016,done,Paid via cash
SRV-1034,Prof. John Martin | Tel: 5552345678 | Mail: sarah_j@yahoo.com,, Toyota Camry (Plate: abc8901),,Tire Fitting,15-Jan-2025,255,Paid,
SRV-1099,Prof. A. Smith | Tel: 555-234-5678 ext 12 | Mail: -,,BMW X5,ABC 8901,Diagnostics,15/01/2025,292,unpaid,
SRV-1100,Dr. Dmitry Jones,555.987.6543,Kia Sportage,7xyz123,Wheel Alignment,01/15/2025,,Done,Bring back next week
SRV-1101,Dr. Anna Thomas | Tel: call spouse 555-888-1122 | Mail: alexander.t@domain.com,,Audi A4,ABC 8901,oil change,01-02-25,334,Pending,
SRV-1102,Ms. David Jones,call spouse 555-888-1122,Kia Sportage,ABC 8901,Battery,28.02.2025,-204,COMPLETED,Duplicate record?
SRV-1103,Dr. Dmitri Wilson,none,bmw x5,NO PLATE,Wheel Alignment,01/15/2025,802,unpaid,
SRV-1104,Mr. JON Thomas,,2018 audi a4 (Plate: 7XYZ123),,Full Maintenance,Feb 28 2025,$2127988,Completed,
SRV-1012,Mr. Bob Williams,555.987.6543,2015 Hyundai Elantra (Plate: NEW CAR),,Diagnostics,02/28/2025,650,Completed,Paid via cash
SRV-1106,Ms. A. Johnson,N/A,Honda CR-V,ABC 8901,alignment,2024-11-03,FREE / WARRANTY,done,Contact wife for payment
SRV-1107,Mr. Dmitri Taylor,,Ford F-150,7XYZ 123,Battery Replacement,01-02-25,820 USD,Paid,Bring back next week
SRV-1108,Mrs. Mike Harris,+1 (555) 019-2834,Ford Mustang,7XYZ123 ,Brake Pads Replacement,00/00/2024,214,in progress,
SRV-1109,Prof. Alexander Jackson,5550192834,Audi A4,K9922X,AC Service,2025-02-28,FREE / WARRANTY,Paid,Need to re-check invoice
SRV-1110,Ms. Anna smith | Tel: +15550192834 | Mail: ,,honda civic,abc8901,Rear Brakes,2025-02-28,1142,in progress,Paid via cash
SRV-1111,,none,Mercedes-Benz E-Class,7XYZ 123,Air Conditioning,2025.01.15,771 USD,unpaid,Customer complained about noise
SRV-1112,Mr. Dmitry Garcia | Tel: N/A | Mail: bob@test..com,,Merc C-Class,NEW CAR,alignment,01-02-25,698,paid,Bring back next week
SRV-1113,Dr. Chris SMITH,555-019-2834,BMW 328i,ABC-8901,Brake Pads Replacement,2024/11/03,733,,
SRV-1114,Dr. Anna Thompson | Tel: +15550192834 | Mail: info@company.org,,2022 Toyota Corolla (Plate: K9922X),,Oil change & Filter,01/15/2025,,CANCELLED,Need to re-check invoice
SRV-1115,Mrs. David Garcia,-,BMW 328i,K9922X,Engine Check,20250228,$7597509,Paid,Contact wife for payment
SRV-1116,Dr. john smith,none,Volkswagen Golf,NONE,AC Refill,2025-01-15,962,COMPLETED,Replaced front left light as well for free
SRV-1117,Dr. john Thomas,555-019-2834,2021 Ford Mustang (Plate: ABC 8901),,AC Service,Feb 28 2025,652,unpaid,Need to re-check invoice
SRV-1118,Ms. D. Taylor | Tel:  | Mail: sarah_j@yahoo.com,,2024 Mercedes-Benz E-Class (Plate: UNREGISTERED),,oil change,2025.01.15,1050,Paid,Contact wife for payment
SRV-1119,Mrs. David Martinez,-,MERCEDES E-CLASS,NEW CAR,AC Service,12/05/2023,693,paid,Customer complained about noise
SRV-1120,Ms. Robert Wilson,+1 (555) 019-2834, Audi A4 (Plate: NEW CAR),,oil change,2023-13-45,1153,Pndg,Need to re-check invoice
SRV-1121,Mike smith | Tel: +15550192834 | Mail: mike.w@hotmail.com,,ford f150,7XYZ 123,brakes front,28.02.2025,1045,,Customer complained about noise
SRV-1122,Prof. David Harris,555-234-5678 ext 12,BMW 3 Series,abc8901,Inspection + Oil,01-02-25,621,unpaid,Contact wife for payment
SRV-1123,Prof. Helen Davis,none,Audi Q7,abc8901,AC Refill,03/11/2024,,unpaid,Duplicate record?
SRV-1124,Dr. S. Wilson,555-019-2834,TOYOTA CAMRY,K9922X,Battery,20250228,"$1,183.00",in progress,Duplicate record?
SRV-1036,Prof. Robert Davis,5552345678,2020 Mercedes-Benz E-Class (Plate: NONE),,Oil change & Filter,28.02.2025,1047,done,VIP client - gave 10% off
SRV-1126,Mrs. Alexander Harris | Tel: call spouse 555-888-1122 | Mail: bob@test..com,,Ford F-150,ABC 8901,OIL CHANGE,01-02-25,1175,,Customer complained about noise
SRV-1127,Mrs. john Thomas,call spouse 555-888-1122,2022 VW Golf (Plate: 7XYZ123),,Air Conditioning,00/00/2024,FREE / WARRANTY,Pending,Replaced front left light as well for free
SRV-1128,Prof. Christian Williams | Tel: 555.987.6543 | Mail: alexander.t@domain.com,,Toyota Corolla,7XYZ 123,Major Service,03/11/2024,108,,
SRV-1129,Mrs. Michael Martinez,555-234-5678 ext 12,2024 TOYOTA CAMRY (Plate: NONE),,Brake Pads Replacement,20250228,588,Done,Replaced front left light as well for free
SRV-1130,Dr. David Wilson,+1 (555) 019-2834,Audi Q7,7XYZ123,Wheel Alignment,"Nov 3, 2024",1109 USD,,Replaced front left light as well for free
SRV-1131,Dr. D. Martinez,5552345678,BMW 328i,K9922X,Full Maintenance,2025-02-28,1044,Paid,Bring back next week
SRV-1132,Prof. JON Martin,555.987.6543, TOYOTA CAMRY (Plate: 7xyz123),,AC Refill,2023-05-12,"$1,179.00",COMPLETED,VIP client - gave 10% off
SRV-1133,Mr. Dmitri Brown,call spouse 555-888-1122,2012 BMW 3 Series (Plate: K9922X),,Tire Fitting,Feb 28 2025,1026,Pndg,Replaced front left light as well for free
SRV-1134,Mr. Mike Garcia,5550192834,Audi Q7,UNREGISTERED,OIL CHANGE,20250228,$7859648,COMPLETED,VIP client - gave 10% off
